order_id,product_id,name,quantity,price,total,Rental start,Rental end,condition,age,date_added,status,category,sub_category,product,period
68,524,"Orion Motor Tech 2 in 1 Cordless Nail and Staple Gun, 18 Gauge 18V 2000mAh Electric Brad Nailer and Stapler Kit with Rechargeable Battery and Charger(Portable Carrying Case Included)",1,9.99,9.99,9/12/2019 0:00,9/21/2019 0:00,,,9/12/2019 8:42,Pending,other,,,9
68,592,Funny Party Hats Photo Booth Props - Photo Booths for Parties - 18 Pc. ,1,1.99,1.99,9/12/2019 0:00,9/21/2019 0:00,,,9/12/2019 8:42,Pending,other,,,9
68,524,"Orion Motor Tech 2 in 1 Cordless Nail and Staple Gun, 18 Gauge 18V 2000mAh Electric Brad Nailer and Stapler Kit with Rechargeable Battery and Charger(Portable Carrying Case Included)",1,9.99,9.99,10/14/2019 0:00,10/23/2019 0:00,,,9/12/2019 8:42,Pending,other,,,9
68,592,Funny Party Hats Photo Booth Props - Photo Booths for Parties - 18 Pc. ,1,1.99,1.99,10/14/2019 0:00,10/23/2019 0:00,,,9/12/2019 8:42,Pending,other,,,9
69,564,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping",1,5.99,5.99,9/23/2019 0:00,9/30/2019 0:00,,,9/12/2019 8:50,Pending,other,,,7
69,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/23/2019 0:00,9/30/2019 0:00,,,9/12/2019 8:50,Pending,other,,,7
69,564,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping",1,5.99,5.99,9/23/2019 0:00,10/2/2019 0:00,,,9/12/2019 8:50,Pending,other,,,9
69,582,"Broil King 958344 Regal S590 Pro Gas Grill, 5-Burner, Stainless Steel",1,91.99,91.99,9/23/2019 0:00,10/2/2019 0:00,,,9/12/2019 8:50,Pending,other,,,9
70,635,Scotts Turf Builder Edgeguard Mini Broadcast Spreader,1,2.99,2.99,11/11/2019 0:00,11/20/2019 0:00,,,9/12/2019 11:37,Pending,other,,,9
70,644,Basics Hardside Spinner Luggage - 24-Inch,1,4.99,4.99,11/11/2019 0:00,11/20/2019 0:00,,,9/12/2019 11:37,Pending,other,,,9
70,635,Scotts Turf Builder Edgeguard Mini Broadcast Spreader,1,2.99,2.99,10/14/2019 0:00,10/23/2019 0:00,,,9/12/2019 11:37,Pending,other,,,9
70,644,Basics Hardside Spinner Luggage - 24-Inch,1,4.99,4.99,10/14/2019 0:00,10/23/2019 0:00,,,9/12/2019 11:37,Pending,other,,,9
84,615,"COSORI Air Fryer(100 Recipes), 5.8 Quart, 1700 Watt Electric Hot Air Fryers",1,7.99,7.99,10/1/2019 0:00,10/10/2019 0:00,,,9/13/2019 11:20,Pending,other,,,9
85,77,1625 CFM High-volume Air Mover ,3,10,30,9/20/2019 0:00,9/27/2019 0:00,,,9/13/2019 8:47,Pending,other,,,7
89,536,NOCO Genius G7200 12V/24V 7.2 Amp Battery Charger and Maintainer,1,7.99,7.99,9/17/2019 0:00,9/17/2019 0:00,,,9/16/2019 7:04,Pending,other,,,0
90,77,1625 CFM High-volume Air Mover ,1,10,10,9/17/2019 0:00,9/17/2019 0:00,,,9/16/2019 11:23,Pending,other,,,0
90,77,1625 CFM High-volume Air Mover ,1,10,10,9/17/2019 0:00,9/17/2019 0:00,,,10/3/2019 14:17,Complete,other,,,0
90,77,1625 CFM High-volume Air Mover ,1,10,10,9/17/2019 0:00,9/17/2019 0:00,,,10/3/2019 14:27,Processing,other,,,0
96,711,Projectors,1,43.47,43.47,10/18/2019 0:00,10/22/2019 0:00,,,9/17/2019 3:51,Pending,other,,,4
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/19/2019 0:00,9/27/2019 0:00,,,9/18/2019 12:24,Pending,other,,,8
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/19/2019 0:00,9/27/2019 0:00,,,9/18/2019 12:24,Pending,other,,,8
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/19/2019 0:00,9/27/2019 0:00,,,10/1/2019 11:05,Processed,other,,,8
99,622,"Jocuu Juicer Machine, Centrifugal Juicer Juice Extractor",1,3.99,3.99,9/19/2019 0:00,9/27/2019 0:00,,,10/1/2019 11:05,Processed,other,,,8
99,556,Canon PowerShot SX420 IS Digital Camera (Black),2,20.99,41.98,9/19/2019 0:00,9/27/2019 0:00,,,10/3/2019 14:32,Processing,other,,,8
